"id","area","inizio","guida","data_visita","turno","partecipanti"
1,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-02-10","Mattina",2
2,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-02-10","Pomeriggio",0
3,"Area2","2023-02-01","BNCLSN90A41H501X                ","2023-03-05","Mattina",1
4,"Area3","2023-03-10","VRDGNN75P55H501Y                ","2023-04-15","Pomeriggio",1
5,"Area1","2023-09-01","PLTFRN60D12H501Z                ","2023-10-10","Mattina",1
6,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-02-24","Mattina",2
7,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-02-24","Pomeriggio",1
8,"Area2","2023-02-01","BNCLSN90A41H501X                ","2023-03-29","Mattina",1
9,"Area3","2023-03-10","VRDGNN75P55H501Y                ","2023-04-29","Pomeriggio",1
10,"Area1","2023-09-01","PLTFRN60D12H501Z                ","2023-10-24","Mattina",1
11,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-03-10","Mattina",1
12,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-03-10","Pomeriggio",1
13,"Area2","2023-02-01","BNCLSN90A41H501X                ","2023-04-05","Mattina",1
14,"Area3","2023-03-10","VRDGNN75P55H501Y                ","2023-05-15","Pomeriggio",1
15,"Area1","2023-09-01","PLTFRN60D12H501Z                ","2023-11-10","Mattina",1
16,"Area1","2023-09-01","PLTFRN60D12H501Z                ","2023-12-01","Mattina",1
17,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-04-10","Mattina",1
18,"Area1","2023-01-15","RSSMRA85M10H501R                ","2023-05-10","Pomeriggio",2
19,"Area2","2023-02-01","BNCLSN90A41H501X                ","2023-06-05","Mattina",0
20,"Area3","2023-03-10","VRDGNN75P55H501Y                ","2023-07-15","Pomeriggio",0
21,"Area1","2023-09-01","PLTFRN60D12H501Z                ","2023-12-10","Mattina",0
